database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:39,131
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:39,131
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 17:56:39,131
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 17:56:39,132
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 17:56:39,132
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 17:56:39,132
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 17:56:39,132
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 17:56:39,132
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 17:56:39,132
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:00,607
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:00,607
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:00,607
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:00,607
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:00,607
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:00,607
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:00,608
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:00,608
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:00,608
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:00,608
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:00,608
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:00,608
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:03,251
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:03,251
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:03,251
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:03,251
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:03,251
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:03,251
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:03,252
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:03,252
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:03,252
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:03,252
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:03,252
supplier_routes_v2.py | logger | INFO | All Suppliers Successfully Retrieved | 2024-03-19 18:05:03,252
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:04,261
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:04,261
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:04,261
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:04,261
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:04,261
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:04,261
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 18:05:04,262
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 18:05:04,262
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 18:05:04,262
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 18:05:04,262
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 18:05:04,262
supplier_routes_v2.py | logger | INFO | Supplier Count Retrieved Successfully | 2024-03-19 18:05:04,262
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:06,127
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:06,127
database_logic.py | logger | INFO | Rows Retrieved Successfully | 2024-03-19 18:05:06,127
